,TweetID,HateType,TweetText,Hate
0,572342978255048705,1,So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  #MKR,1
1,572341498827522049,1,Drasko they didn't cook half a bird you idiot #mkr,1
2,572340476503724032,1,Hopefully someone cooks Drasko in the next ep of #MKR,1
3,572334712804384768,1,of course you were born in serbia...you're as fucked as A Serbian Film #MKR,1
4,572332655397629952,1,"These girls are the equivalent of the irritating Asian girls a couple years ago. Well done, 7. #MKR",1
3771,571370337096622080,1,"@PelorsHope OK, you win that one.  Go tell your cousin's friend to fork it over...",0
3772,571396272864698369,1,"RT @asredasmyhair: Fems, for the love of God, please stop propagating the wage gap myth. #FemFreeFriday http://t.co/DQ7LsadWtH",0
3774,571442258681192448,1,I'll believe #feminism wants #equality when they start demanding death for #JodiArias but...I won't hold my breath... http://t.co/B108OAG7DO,0
3776,571461934387765249,1,RT @ducesettutamen: @JustLaurenB @MT8_9 Pretty much this. http://t.co/5DlDx5HCtq,0
3777,571473099817820160,1,RT @TheMercedesXXX: Word. #GamerGate http://t.co/6wPJPWTEQN,0
3778,571499576152231936,1,RT @fruitondabottom: @MT8_9 Didn't you hear about the abhorrent display of sexism on The Good Wife?! Tragic! http://t.co/eyWCr7woaF,0
3779,571504864179699712,1,RT @radleybalko: Univ. of Colorado disciplined a student for sexual assault even though his accuser admitted she had lied. http://t.co/uhTv…,0
3780,571665536955879424,1,@kain_larsen @gigagiga333 Nope.,0
3782,571728085176852480,1,@PMForeheadSp You were right...just about the wrong person...Valenti's a feminist.,0
3783,571737860073603072,1,RT @JohnathanMulroo: @GoldenBeverley @Transic_nyc @MT8_9 nor stuff like this: http://t.co/TTmc120Gr1,0
3785,571776873060958208,1,"""They drafted a reliever w/ the 4th overall pick? Over a switch hitting catcher w/ power? Death to America!"" #Pirates http://t.co/uCMkpTqw5r",0
3786,571785683255181313,1,@susanhaggard1 @sara771987 Does she have a legal obligation to report?  I don't think she does...,0
3787,571787343687917568,1,"@susanhaggard1 @sara771987 Telling him to get back in the truck might be a crime, but...along the lines of conspiracy or inciting a riot.",0
3788,571788160847368192,1,@pondereroftruth @sara771987 Perhaps.,0
3789,571845428557312000,1,@MGTOWKnight @FactsVsOpinion ...cue the NAFALT in 3..2...1...,0
3792,571897828253048833,1,"""@nethercott_eden: Why is #WomenAgainstFeminism a thing? learn what something means before you are against it"" Et tu? http://t.co/Evsre0f1Rd",0
3793,572010494107598849,1,RT @Pro_Equality_: @anotherfallow my uncle was shot 5 times and died because he kept denying his female stalker.  Stop acting like males li…,0
3795,572020834451116032,1,RT @perydwyn: @MT8_9 @FactsVsOpinion @VettedVixen Saying that anti feminist is being anti women is like saying being anti KKK is being anti…,0
3796,572057907229011968,1,.@MSharkess @CriticalKelly @MensHumanRights @robinashe @RampaigerA79 @Mislu_Kravin ...I was waiting for her answer to use that exact line.,0
3797,572059829726007297,1,"@MSharkess @CriticalKelly @MensHumanRights @robinashe @RampaigerA79 @Mislu_Kravin No problem, she deflected anyway...",0
3800,572145335302164480,1,"@kittoms Social Justice Warrior AKA the liberals/feminists who are so ""tolerant"" they tolerate nothing &amp; want to impose their views on world",0
3802,572204238639636481,1,@moderncomments Liberals suddenly consider ISIS a threat.,0
3803,572364571891134464,1,@g56yu @PoliticalCynic To what end?  It's a beta cuck in a college rag...,0
3804,572369548919353344,1,"The one thing that could actually end the ""harassment"" of #GamerGate... http://t.co/RuMt3nVPXS",0
3805,572374251711430658,1,RT @Dezzantibus: @Tronathon242 @MT8_9 Not really. There are gamers (male or female) and then there are girl gamers who make a big stink abo…,0
3807,572433042729353216,1,"RT @CathyYoung63: After the #BorisNemtsov murder, I'm at 0 patience for special snowflakes who bleat about feeling ""unsafe"" b/c someone sai…",0
3808,572513779700908032,1,"@DQTwitchStream ...if they hadn't just flushed their Cup chances, I'd be inclined to argue...",0
3809,572514325371494400,1,"@VCR_Blog Picked the Ducks to win Cup before season...but that was thinking Gibson would be great. Might pick Hawks nows, but...Ducks in it.",0
3810,572514821029175296,1,"@DQTwitchStream I like the forward group now and MAF has been great. But, our defense will get bitchslapped like a mean pimps junkie hooker.",0
3811,572518733010345985,1,"@DQTwitchStream Got a 1st for Coburn, more than I'd have thought.  Hawks made a mistake/took big risk on Timonen but good deal for Hextall.",0
3812,572519118592737280,1,"@OrangePuck By that definition, Jim Rutherford is a Ducks fan...that explains everything.",0
3813,572519882740408320,1,@DQTwitchStream Flyers can never get all 3 phases in sync.  Have had great forwards.  Had great D in 2010. But never find the G.  If they do,0
3814,572520201448775680,1,"@DQTwitchStream ...they F or D will be bad.  Shoulda kept Richards, Carter and Bob.  I laughed when they made each of those deals.",0
3815,572523107048689666,1,@DQTwitchStream Too much drinking.  Too many porn stars.  Then they end up winning in LA.  Should have given them more drinks &amp; porn stars.,0
3816,572530408392425473,1,@DQTwitchStream Allegedly did Hartnells ugly wife.,0
3818,572611563980374016,1,@nolanwhyte @mistaphill ...K.  Thanks for demonstrating a firm understanding of legal rights.,0
3821,572863931082924033,1,@FeministFailure @MaravillaTom What is the event?,0
3822,572876230808100864,1,@HumanistFury @mcRelyt Given that it's WaPo...laying odds...,0
3824,572913212158562304,1,"RT @WRCorg: UCLA Women's Law Group Libels CHS, Then Tries to Hide it. #womenagainstfeminism http://t.co/NFqIgwK88y",0
3827,574558159404138496,1,RT @DestinTrueheart: People do not get it.Definition of Sexual assault on campus is so broad it makes most dating interactions chargeable a…,0
3828,574574921734483968,1,"@MGTOWKnight ""Give them enough rope to hang themselves""",0
3830,574598483065311235,1,@sh00ter_d ...or what I say.  Or what I do.  Or what I think.  Or what I know...,0
3833,574702665008988160,1,RT @jowilliams293: On #InternationalWomensDay women who inspire me: @CHSommers @Fox_Claire @clairlemon @cl_kitchens @CathyYoung63 @XXFactor…,0
3835,574898484479815681,1,"@OwynnP Honestly, I didn't look...because I'd bet my life we KNOW the answer.",0
